Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
11,-0.03800990432500839,1.7453302145004272,77.9290771484375,-0.28201336272112676,-0.45839083136103276,-86.59527400685117,-0.20804179,6.0963593,-1.4381157,9.863038,-8.668392,-6.1839247,4.400661,-4.9246364,-6.8021674,7.0517783,-11.994085,6.972971,-2.5934255,1.3433424,6.217703,-2.8503056,12.004959,-41.918415,66.30197,0.63426757,-0.042045366,4.9288263,3.9297597,-9.058147,22.745083,61.252743,-10.236089,0.18097998,-8.168516
12,-0.04107682779431343,1.7285993099212646,77.92571258544922,-0.2788876238082291,-0.45076470746057706,-86.59880923643969,-0.21053118,6.0916934,-1.439412,9.86395,-8.674586,-6.1707225,4.397847,-4.9300995,-6.8017025,7.0520673,-11.997112,6.975548,-2.5932896,1.343134,6.197639,-2.8508575,12.003266,-41.920425,66.30182,0.63602805,-0.042166386,4.9334755,3.9289923,-9.0589905,22.75709,61.259773,-10.258013,0.1759207,-8.187309
13,-0.046850062906742096,1.7219480276107788,77.92973327636719,-0.27367574300849307,-0.4478349598374431,-86.60353403216216,-0.21276572,6.0854936,-1.4366313,9.879448,-8.692987,-6.1413016,4.4017205,-4.9357777,-6.805968,7.050524,-12.002201,6.976917,-2.6086268,1.3419056,6.1742296,-2.8458047,11.999196,-41.93035,66.3073,0.6251016,-0.038366392,4.948383,3.9258316,-9.061156,22.788166,61.27247,-10.266208,0.17702483,-8.1959
14,-0.04215133190155029,1.7124831676483154,77.9252700805664,-0.2688354661467327,-0.4486182376788983,-86.60943159842431,-0.21491614,6.0784793,-1.4316114,9.905614,-8.720238,-6.1032367,4.4076266,-4.941886,-6.8126917,7.0528765,-12.010655,6.9764767,-2.6220162,1.3387063,6.161593,-2.848748,11.998091,-41.941906,66.311195,0.61607724,-0.03263947,4.9649854,3.919188,-9.061935,22.799114,61.279827,-10.280758,0.18106283,-8.187716
15,-0.04892480745911598,1.7040200233459473,77.92223358154297,-0.2629043730257107,-0.45012575283707235,-86.61382448931987,-0.21342383,6.072836,-1.426732,9.9245615,-8.742484,-6.0716095,4.415119,-4.9461775,-6.8189964,7.0534883,-12.018066,6.9737196,-2.6334872,1.3352239,6.1502547,-2.8529084,11.997908,-41.953487,66.316986,0.59527683,-0.029856369,4.9796944,3.9130702,-9.062262,22.805758,61.28585,-10.2807455,0.18275028,-8.171388
16,-0.041440222412347794,1.6996190547943115,77.92333984375,-0.26142342855312833,-0.4501228520069717,-86.61411060029033,-0.2107265,6.0704618,-1.4251685,9.932481,-8.752986,-6.0615597,4.4203205,-4.9470162,-6.8219986,7.0543857,-12.023531,6.9680033,-2.6392696,1.3342229,6.136929,-2.8600433,11.9981985,-41.97188,66.328384,0.5448575,-0.035193313,4.9867115,3.9105709,-9.062629,22.812695,61.290775,-10.253606,0.17660767,-8.150478
17,-0.03418220579624176,1.6910357475280762,77.9286880493164,-0.262016084090549,-0.4476181845766271,-86.60768316542516,-0.20707764,6.072394,-1.4293287,9.923571,-8.745079,-6.085181,4.422299,-4.9429297,-6.8192215,7.0547466,-12.0254965,6.9577703,-2.6380482,1.3362446,6.1236286,-2.8712745,11.998661,-41.981445,66.34621,0.44930258,-0.05514585,4.977625,3.913195,-9.062897,22.813057,61.291336,-10.182583,0.15542299,-8.116755
18,-0.03855195641517639,1.6913092136383057,77.9351577758789,-0.2655991621653369,-0.443900655413493,-86.59608620861601,-0.19951609,6.0775385,-1.4371879,9.897775,-8.721859,-6.131734,4.4221463,-4.9353147,-6.8132105,7.055187,-12.025335,6.9439,-2.6347008,1.3420643,6.1125283,-2.8817554,11.999417,-41.983574,66.36204,0.3256349,-0.083407834,4.9590235,3.917909,-9.063415,22.808475,61.287823,-10.082286,0.12530631,-8.072384
19,-0.04093429446220398,1.6918461322784424,77.93406677246094,-0.2685480944302411,-0.4407808119612254,-86.58536034722607,-0.18882217,6.083814,-1.4436251,9.867269,-8.696019,-6.181956,4.4230266,-4.926773,-6.806115,7.054888,-12.02477,6.929294,-2.6290052,1.3452373,6.1021023,-2.9012752,12.000086,-41.98473,66.39123,0.20893268,-0.11454575,4.9365544,3.9211798,-9.064168,22.803045,61.285892,-9.983018,0.09478631,-8.028295
20,-0.054687634110450745,1.6797751188278198,77.92889404296875,-0.2733511169600596,-0.4388329139294214,-86.5797027270975,-0.17657083,6.0917845,-1.4456004,9.843093,-8.679615,-6.2170787,4.4260325,-4.9183216,-6.8021812,7.0551353,-12.026991,6.916761,-2.6236494,1.3504505,6.093482,-2.912789,12.001059,-41.984993,66.40816,0.1554705,-0.12936412,4.9275503,3.9240015,-9.065306,22.798517,61.28154,-9.927214,0.081056215,-8.007177
21,-0.06341465562582016,1.662137746810913,77.92581176757812,-0.2780604662724738,-0.4396336195446965,-86.58086154157407,-0.16565874,6.1025577,-1.4414507,9.836917,-8.681158,-6.2327166,4.4327135,-4.9096518,-6.8047104,7.0558295,-12.032745,6.9058356,-2.6199126,1.3539929,6.0861096,-2.9228637,12.001762,-41.986637,66.427444,0.19590232,-0.12661536,4.938103,3.9234867,-9.065922,22.799635,61.277885,-9.935299,0.09081825,-8.016621
22,-0.0574173741042614,1.6447482109069824,77.91910552978516,-0.28512415681354186,-0.44310178877843404,-86.5864441713638,-0.15247194,6.1170325,-1.4331362,9.83852,-8.692139,-6.2389464,4.44386,-4.898935,-6.8108892,7.0554395,-12.040326,6.8951535,-2.612514,1.3559403,6.0827966,-2.9341066,12.002526,-41.989037,66.44975,0.30609742,-0.11311478,4.963295,3.928834,-9.066348,22.80527,61.262608,-9.980827,0.11917758,-8.050294
23,-0.06158452481031418,1.6423640251159668,77.91915130615234,-0.2916089687090371,-0.4457196391401129,-86.59504637210996,-0.14268605,6.129954,-1.4228745,9.847563,-8.708792,-6.237797,4.4533067,-4.890024,-6.814166,7.056595,-12.048871,6.886988,-2.6091359,1.3581603,6.0755625,-2.9362583,12.004224,-41.98421,66.46148,0.4207503,-0.093900904,4.984663,3.9376385,-9.06686,22.816511,61.246677,-10.02946,0.14868616,-8.08794
24,-0.06420736014842987,1.644106149673462,77.9188003540039,-0.2923229524172552,-0.44659548790236203,-86.60645389370741,-0.13396284,6.1357136,-1.4107232,9.85552,-8.723927,-6.2311997,4.4600744,-4.8863106,-6.80677,7.056953,-12.055102,6.883572,-2.600863,1.3613969,6.063443,-2.9335973,12.004836,-41.97625,66.46038,0.48164272,-0.07744695,4.9847665,3.9418373,-9.067095,22.817162,61.2459,-10.047304,0.16058044,-8.108581
25,-0.04946759343147278,1.6484068632125854,77.92619323730469,-0.2867991351509313,-0.44361502846603273,-86.62341923026393,-0.12591042,6.1313505,-1.3949804,9.85734,-8.734693,-6.2175426,4.4611797,-4.890449,-6.780409,7.0571623,-12.058149,6.885866,-2.590837,1.3659935,6.0441375,-2.9187884,12.005397,-41.94754,66.43484,0.469668,-0.06524423,4.9477935,3.9477446,-9.06819,22.80683,61.254192,-10.030429,0.1537376,-8.104653
26,-0.04737195745110512,1.640532374382019,77.92752075195312,-0.2757793180310321,-0.43825055558880743,-86.64520498140455,-0.122475624,6.1204677,-1.376311,9.865443,-8.749002,-6.1965685,4.4581428,-4.899574,-6.7412167,7.058242,-12.059798,6.89249,-2.574737,1.3719375,6.018298,-2.897305,12.005237,-41.91462,66.39429,0.41147307,-0.05342147,4.8879642,3.9561033,-9.069538,22.78836,61.26958,-9.992205,0.1359706,-8.088063
27,-0.053405966609716415,1.6167583465576172,77.92622375488281,-0.2639426219131359,-0.43414546494459166,-86.6664869439681,-0.11680258,6.107344,-1.3575584,9.871025,-8.761401,-6.1720686,4.457182,-4.9104753,-6.7030973,7.057631,-12.060744,6.902265,-2.5586302,1.3753866,5.9933653,-2.8788946,12.0047,-41.885185,66.356735,0.33880234,-0.042494036,4.8281007,3.9648192,-9.071578,22.770496,61.286587,-9.933226,0.10767545,-8.068194
